		Analysemetode_id										Analysemetode_id	BTZ	BTZ	BTZ	BTZ	BTZ	BTZ	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	LEGE	LEGE	PEST	PEST	PEST	SURF	SURF	SURF	SURF	SVOC	SVOC	SVOC	SVOC	BIS	BIS	BIS	BIS	BIS	BIS	BIS	VOC	VOC	VOC	VOC	VOC	VOC	PFAS	PFAS	PFAS	PFAS	PFAS	SIL	SIL	SIL	SIL	SIL	LCCP
NR-2022-06818	Granule	ng/g	N 6644256.21, E 600713.35			7.11.2022	Valle Hovin Nord	Artificial grass pitch	Outdoor	Grabb			12.2	275	17.9	328	84.1	47.9	<1	782	16.9	<1	<1	<1	128	<1	<1	<1	<10	<1	<1	<1	<1	157	6880	223						<1	<10	<1	<1																												
NR-2022-06816	Sediment	ng/g				7.11.2022	Valle Hovin S?r	Artificial grass pitch	Outdoor	Grabb			<1	<1	<1	<1	<1	<1	<1	95.5	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	66.5	<1	655	4.5						<1	<10	<1	<1																												
NR-2022-06819	Granule	ng/g	N 6644164.96, E 600860.36			7.11.2022	Valle Hovin ?st	Artificial grass pitch	Outdoor	Grabb			16.9	60.2	17.9	385	111	46.2	<1	1410	67	<1	<1	<1	181	<1	<1	<1	<10	<1	<1	<1	<1	139	8860	1120						<1	<10	<1	<1																												
NR-2022-06817	Sediment	ng/g	N 6644164.96, E 600860.36			7.11.2022	Valle Hovin ?st	Artificial grass pitch	Outdoor	Grabb			14	108	4.5	335	312	171	<1	1935	530	<1	104	<1	2460	<1	<1	<1	<10	<1	<1	<1	<1	90.5	3325	13000						<1	<10	<1	<1																												
NR-2022-06821	Granule	ng/g				???	Obos1	Artificial grass pitch	Indoor	Grabb			37.1	517	55.3	1090	2770	242	196	4540	2200	<1	1750	<1	8050	363	<1	<1	<10	<1	<1	<1	236	4390	8060	50100						1320	<10	<1	<1																												
NR-2022-06822	Granule	ng/g				???	Obos2	Artificial grass pitch	Indoor	Grabb			58.8	759	59.3	1210	3280	318	253	4270	2230	<1	2560	<1	8290	268	<1	<1	<10	<1	<1	<1	119	5100	10450	52600						1390	<10	<1	<1																												
NR-2022-06823	Granule	ng/g				???	LSK	Artificial grass pitch	Indoor	Grabb			58.7	1310	21.9	1400	3930	252	<1	4320	2130	<1	275	<1	7410	105	<1	<1	<10	<1	<1	<1	171	4460	9100	55350						1540	<10	<1	<1																												
NR-2022-06807	Sludge	ng/g				26.-29.9.22	Bekkelaget	Wastewater treatment plant_High	Summer	Grabb			2.9	<1	<1	<1	16.4	<1	<1	<1	<1	<1	<1	<1	37.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.3	37.9	<1	5.0	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06814	Sludge	ng/g				3.10-5.10.22	Bekkelaget	Wastewater treatment plant_High	Autumn	Grabb			<1	<1	<1	<1	17.1	<1	<1	<1	<1	<1	<1	<1	63.3	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.0	37.1	<1	4.3	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06824	Sludge	ng/g				24.11	Bekkelaget	Wastewater treatment plant_Low	Summer	Grabb			<1	<1	<1	<1	<1	3.7	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4.7	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06825	Sludge	ng/g				??	Bekkelaget	Wastewater treatment plant_Low	Autumn	Grabb			<1	<1	<1	<1	<1	2.3	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4.0	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06876	Water	ng/L				27.09.2022	Bekkelaget	Wastewater treatment plant_High	Summer	column			<1	165	<1	<1	23.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	187	231	<1	281	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06877	Water	ng/L				28.09.2022	Bekkelaget	Wastewater treatment plant_High	Summer	column			<1	142	<1	<1	15.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	192	231	<1	308	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06878	Water	ng/L				29.09.2022	Bekkelaget	Wastewater treatment plant_High	Summer	column			<1	130	<1	<1	12.4	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	129	179	<1	307	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06899	Water	ng/L				03.10.2022	Bekkelaget	Wastewater treatment plant_High	Autumn	column			<1	175	<1	<1	27.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	106	167	<1	278	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06900	Water	ng/L				04.10.2022	Bekkelaget	Wastewater treatment plant_High	Autumn	column			<1	131	<1	<1	15.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	84.5	149	<1	323	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06901	Water	ng/L				05.10.2022	Bekkelaget	Wastewater treatment plant_High	Autumn	column			<1	132	<1	<1	14.2	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	60.8	95.5	<1	263	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06879	Water	ng/L				27.09.2022	Bekkelaget	Wastewater treatment plant_High	Summer	column			<1	99.5	<1	<1	24.8	<1	<1	<1	<1	<1	<1	<1	20.5	<1	<1	<1	<10	<1	<1	<1	<1	81.2	148	11.5	58.5	<1	<1	<0.1	<10	12	<10	<1	<1																												
NR-2022-06880	Water	ng/L				28.09.2022	Bekkelaget	Wastewater treatment plant_Low	Summer	column			<1	68	<1	<1	18.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	43.8	<1	50.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06881	Water	ng/L				29.09.2022	Bekkelaget	Wastewater treatment plant_Low	Summer	column			<1	46.5	<1	<1	12.7	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	38.5	<1	69.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06902	Water	ng/L				03.10.2022	Bekkelaget	Wastewater treatment plant_Low	Autumn	column			<1	37.5	<1	<1	10.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	23.5	<1	60.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06903	Water	ng/L				04.10.2022	Bekkelaget	Wastewater treatment plant_Low	Autumn	column			<1	52.5	<1	<1	15.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	20.5	<1	49.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06904	Water	ng/L				05.10.2022	Bekkelaget	Wastewater treatment plant_Low	Autumn	column			<1	43.3	<1	<1	13.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	16.5	<1	58.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06938	Air???	ng				26.-27.9.22	Bekkelaget	Wastewater treatment plant_High	high treatment?																																									Not Offered													Not Offered										
NR-2022-06939	Air???	ng				27.-28.9.22	Bekkelaget	Wastewater treatment plant_High	high treatment?																																																																
NR-2022-06940	Air???	ng				28.-29.9.22	Bekkelaget	Wastewater treatment plant_Low	high treatment?																																																																
NR-2022-06941	Air???	ng				29.-30.9.22	Bekkelaget	Wastewater treatment plant_Low	high treatment?																																																																
NR-2022-06992	Air???	ng				??	Bekkelaget	Wastewater treatment plant	high treatment?																																																																
NR-2022-06795	sediment	ng/g	"N 6646841.52; E 604962.51"			10.05.2022	Brubak	Urban river_Alna		Grabb			<1	1.8	<1	<1	<1	<1	<1	2.7	<1	<1	<1	<1	40.0	<1	<1	<1	<10	<1	<1	<1	<1	<1	41.5	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1												Not Offered											Not Offered					
NR-2022-06805	sediment	ng/g	"N 6646841.52; E 604962.51"			12.09.2022	Brubak	Urban river_Alna		Grabb			<1	<1	<1	<1	<1	<1	<1	2.0	<1	<1	<1	<1	13.4	<1	<1	<1	<10	<1	<1	<1	<1	<1	19.7	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06794	sediment	ng/g	"N 6644278.52; E 602600.1"			10.05.2022	Breivoll	Urban river_Alna		Grabb			<1	6.2	<1	1.8	5.0	3.5	<1	12.6	31.8	<1	<1	<1	365	<1	<1	<1	<10	<1	<1	<1	<1	<1	173	111	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06804	sediment	ng/g	"N 6644278.52; E 602600.1"			12.09.2022	Breivoll	Urban river_Alna		Grabb			<1	5.4	<1	1.9	4.9	1.6	<1	12.4	26.8	<1	<1	<1	324	<1	<1	<1	<10	<1	<1	<1	<1	<1	168	55.7	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06801	sediment	ng/g	"N 6642145.02; E 600216.99"			44706???	Kv‘rner	Urban river_Alna		Grabb			<1	2.3	<1	<1	<1	<1	<1	3.1	<1	<1	<1	<1	56.0	<1	<1	<1	<10	<1	<1	<1	<1	<1	84.3	6.3	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06806	sediment	ng/g	"N 6642145.02; E 600216.99"			12.09.2022	Kv‘rner	Urban river_Alna		Grabb			<1	13.0	<1	1.5	3.3	7.9	<1	17.6	<1	<1	<1	<1	294	<1	<1	<1	<10	<1	<1	<1	<1	<1	403	54.8	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06820	sediment	ng/g	"N 6647788.74; E 604198.27"			03.11.2022	Kalbakken	Urban river_Alna		Grabb			<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	3.8	<1	<1	<1	<10	<1	<1	<1	<1	<1	13.4	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06815	sediment	ng/g	"N 6647788.74; E 604198.27"			26.10.2022	Kalbakken	Urban river_Alna		Grabb			<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	3.4	<1	<1	<1	<10	<1	<1	<1	<1	<1	21.3	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06905	Water	ng/L	"N 6646841.52; E 604962.51"			26.10.2022 kl 11.10	Brubak	Urban river_Alna	Dry	column			<1	23.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	8.1	<1	<1	<1	<10	<1	<1	<1	<1	25.5	21.3	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06872	Water	ng/L	"N 6646841.52; E 604962.51"			13.09.2022	Brubak	Urban river_Alna	?	column			<1	121	<1	<1	10.5	<1	<1	<1	<1	<1	<1	<1	52.9	<1	<1	<1	<10	<1	<1	<1	<1	58.1	186	<1	<1	<1	<1	<0.1	<10	5.5	<10	<1	<1																												
NR-2022-06906	Water	ng/L	"N 6644278.52; E 602600.1"			26.10.2022 kl 11.30	Breivoll	Urban river_Alna	Dry	column			<1	29.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	7.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.5	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06873	Water	ng/L	"N 6644278.52; E 602600.1"			13.09.2022	Breivoll	Urban river_Alna	?	column			<1	213	<1	<1	17.9	<1	<1	<1	<1	<1	<1	<1	20.5	<1	<1	<1	<10	<1	<1	<1	<1	90.5	268	<1	<1	<1	<1	<0.1	<10	11	<10	<1	<1																												
NR-2022-06907	Water	ng/L	"N 6642145.02; E 600216.99"			26.10.2022 kl 11.55	Kv‘rner	Urban river_Alna	Dry	column			<1	44.5	<1	<1	8.1	<1	<1	<1	<1	<1	<1	<1	14.5	<1	<1	<1	<10	<1	<1	<1	<1	40.9	42.8	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06874	Water	ng/L	"N 6642145.02; E 600216.99"			13.09.2022	Kv‘rner	Urban river_Alna	?	column			<1	130	<1	<1	9.2	<1	<1	<1	<1	<1	<1	<1	22.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	141	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06908	Water	ng/L				26.10.2022 kl 10.30	Apall?kka	Urban river_Alna	Dry	column			<1	52.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	84.5	28.1	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06875	Water	ng/L				13.09.2022	Apall?kka	Urban river_Alna	?	column			<1	74.6	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	31.5	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2023-02387	Water		"N 6642145.02; E 600216.99"			27.2.23	Kv‘rner	Urban river_Alna	extra sample VOC	special bottle																																																					Not Offered										
NR-2023-02388	Water		"N 6646841.52; E 604962.51"			27.2.23	Brubak	Urban river_Alna	extra sample VOC	special bottle																																																															
NR-2023-02389	Water		"N 6644278.52; E 602600.1"			27.2.23	Breivoll	Urban river_Alna	extra sample VOC	special bottle																																																															
NR-2023-02390	Water					27.2.23	Vesletjern	Urban river_Alna	extra sample VOC	special bottle																																																															
NR-2022-06870	Water	ng/L	59.059745, 9.638333			08.09.2022	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area	same LIMS for column and particle			21.1	16350	70.5	15.5	2535	21.5	<1	476	119	<1	129	<1	2675	<1	<1	<1	<10	<1	<1	<1	<1	5060	3655	1840																					Not Offered						Not Offered					Not Offered					
NR-2022-06871	Water	ng/L	59.059745, 9.638333			08.09.2022	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area	same LIMS for column and particle			31.5	23800	66.5	13.5	3905	17.5	<1	363	65.5	<1	123	<1	2115	<1	<1	<1	<10	<1	<1	<1	<1	5275	3955	1255																																					
NR-2022-06882	Water	ng/L	59.059745, 9.638333			29.09.2022	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area	same LIMS for column and particle			29.5	31650	82.8	6.5	4490	16.9	<1	229	48.9	<1	48.8	<1	980	<1	<1	<1	<10	<1	<1	<1	<1	4845	6275	322.5																																					
NR-2022-06920	Particle?	ng/L	59.059745, 9.638333			08.09.2022	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area	same LIMS for column and particle			<1	<1	<1	5.5	29.5	8.3	<1	107	82.8	<1	12.3	<1	1825	<1	<1	<1	<10	<1	<1	<1	<1	439	341	920																																					
NR-2022-06921	Particle?	ng/L	59.059745, 9.638333			08.09.2022	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area	same LIMS for column and particle			<1	<1	<1	6.5	55.9	10.5	<1	191	126	<1	20.5	<1	2515	<1	<1	<1	<10	<1	<1	<1	<1	560	530	1375																																					
NR-2022-00807	Particle?	ng/L	59.059745, 9.638333			29.09.2022	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area	same LIMS for column and particle			<1	79.5	10.5	14	84.5	9.5	<1	580	264	<1	59.6	<1	4600	<1	<1	<1	<10	<1	<1	<1	<1	575	960	2735																																					
NR-2022-06798	sludge	ng/g	59.059745, 9.638333			08.09.2022	Bamble_Skjerk?ya	Tire collection site	kum				21.3	276	10.6	299	1181	60.3	<1	2003	1635	<1	1777	<1	5306	<1	<1	<1	<10	<1	<1	<1	37.1	1277	5652	13226						497	<10	<1	<1																												
NR-2022-06799	sludge	ng/g	59.059745, 9.638333			08.09.2022	Bamble_Skjerk?ya	Tire collection site	kum				1.6	45.6	1.9	29.4	46.6	60.3	<1	282	290	<1	29.1	<1	2431	<1	<1	<1	<10	<1	<1	<1	20.0	185	378	3238						5.6	<10	<1	<1																												
NR-2022-06800	sludge	ng/g	59.059745, 9.638333			30.09.2022	Bamble_Skjerk?ya	Tire collection site	kum				21.5	427	29.2	558	1031	171	<1	2215	2527	<1	1031	<1	7812	<1	<1	<1	<10	<1	<1	<1	49.6	2215	5496	22308						612	<10	<1	<1																												
NR-2022-06884	Water_filtered	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - START				<50	6660	220	<50	3520	260	<50	990	480	<50	<50	<50	14760	<50	<50	<50	<50	<50	<50	<50	<50	15640	21400	4540																											Not Offered										
NR-2022-06923	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - START				<50	<50	<50	<50	<50	<50	<50	490	<50	<50	<50	<50	2560	<50	<50	<50	<50	<50	<50	<50	<50	<50	2640	1060																																					
NR-2022-06885	Water_filtered	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 1				<50	5500	240	<50	4820	<50	<50	1360	920	<50	<50	<50	9540	<50	<50	<50	<50	<50	<50	<50	<50	11280	15120	3100																																					
NR-2022-06924	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 1				<50	<50	<50	<50	<50	<50	<50	530	<50	<50	<50	<50	3080	<50	<50	<50	<50	<50	<50	<50	<50	<50	2880	1100																																					
NR-2022-06886	Water_filtered	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 2				<50	64080	1760	<50	8640	<50	<50	470	1760	<50	<50	<50	95200	<50	<50	<50	<50	<50	<50	<50	<50	36080	62900	24160																																					
NR-2022-06925	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 2				<50	960	<50	<50	<50	960	<50	2320	2320	<50	<50	<50	37120	<50	<50	<50	<50	<50	<50	<50	<50	<50	20240	18080																																					
NR-2022-06887	Water_filtered	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 1				<50	27040	1520	<50	6160	<50	<50	2720	1120	<50	<50	<50	62480	<50	<50	<50	<50	<50	<50	<50	<50	32450	36800	16080																																					
NR-2022-06926	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 1				<50	<50	<50	<50	<50	<50	<50	390	<50	<50	<50	<50	4400	<50	<50	<50	<50	<50	<50	<50	<50	<50	6880	2180																																					
NR-2022-06888	Water_filtered	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2				<50	36480	1840	<50	7360	<50	<50	1680	960	<50	<50	<50	65760	<50	<50	<50	<50	<50	<50	<50	<50	28320	46250	8720																																					
NR-2022-06927	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2				<50	1040	<50	<50	<50	<50	<50	2080	1920	<50	<50	<50	26640	<50	<50	<50	<50	<50	<50	<50	<50	<50	17040	13440																																					
NR-2022-06889	Water_filtered	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2				<50	34960	2000	<50	6320	<50	<50	2880	<50	<50	<50	<50	59520	<50	<50	<50	<50	<50	<50	<50	<50	26480	41530	6960																																					
NR-2022-06889	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2				<50	<50	<50	<50	<50	<50	<50	1200	880	<50	<50	<50	13120	<50	<50	<50	<50	<50	<50	<50	<50	<50	9200	7360																																					
NR-2022-06912	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Basseng under rensing dag 14-1				<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	8550	<50																																					
NR-2022-06913	Water	ng/L	59,905465oN, 10,785367oE				V†lerengatunnelen	Tunnel environment	Basseng under rensing dag 14-2				<50	<50	<50	<50	<50	<50	<50	650	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	12100	<50																																					
